;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;106;61450;1378;59;7,142857142857143;97,71879415173115;64,24242424242425;97,80671038390527;79,26752287184685;12,85627653123105;24,720149253731346
pca-quart;126;60570;2255;39;5,2918941621167574;96,35815208763296;76,36363636363636;96,41066454436928;85,80366500821945;9,897879025923016;20,71686945083854
mlp-1camadas-min;92;62166;662;73;12,20159151193634;98,83320368929881;55,75757575757576;98,94632966193417;74,27656071776184;20,021762785636565;32,53182461103253
mlp-1camadas-quart;103;61830;995;62;9,380692167577413;98,32195586601048;62,42424242424242;98,41623557500995;78,38085830109142;16,310372129849565;29,294653014789535
mlp-3camadas-min;80;62513;315;85;20,253164556962027;99,36500881050276;48,484848484848484;99,49863118354874;69,45628882530495;28,57142857142857;37,91469194312797
mlp-3camadas-quart;97;62346;479;68;16,84027777777778;99,13160819177648;58,78787878787879;99,23756466374851;76,38040273955572;26,180836707152498;39,23948220064725
oc-svm-min;0;62827;1;165;0,0;99,73647865635864;0,0;99,99840835296365;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;63;62752;76;102;45,32374100719424;99,71742892067373;38,18181818181818;99,87903482523716;61,7540536958724;41,44736842105263;39,424280350438046
if-quart;89;62719;106;76;45,64102564102564;99,71106524845213;53,93939393939394;99,83127735773975;73,38145948992855;49,44444444444445;52,046783625730995
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;86;62478;229;74;27,3015873015873;99,51803012709371;53,75;99,6348095108999;73,1804004581204;36,21052631578947;45,026178010471206
