;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;33;24267;15265;28;0,21571447248006276;61,37448538883136;54,09836065573771;61,3857128402307;57,62695924947237;0,42971547626798623;1,0616394286449622
pca-quart;60;11707;27822;1;0,21519259737465032;29,722152058600656;98,36065573770492;29,616231121455133;53,972881279266076;0,42944565723079126;1,0666287420891702
mlp-1camadas-min;7;38769;763;54;0,9090909090909091;97,93650392746193;11,475409836065573;98,06991804108064;33,54687022824575;1,6847172081829123;3,451676528599605
mlp-1camadas-quart;15;37506;2023;46;0,7360157016683022;94,77393281131599;24,59016393442623;94,88223835664955;48,3028963485143;1,4292520247737017;3,286590709903593
mlp-3camadas-min;0;39477;55;61;0,0;99,70701891748541;0,0;99,86087220479611;0,0;0,0;0,0
mlp-3camadas-quart;0;39398;131;61;0,0;99,51502904773933;0,0;99,6685977383693;0,0;0,0;0,0
oc-svm-min;0;39532;0;61;0,0;99,84593236178112;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;39529;0;61;0,0;99,84592068704218;0,0;100,0;0,0;0,0;0,0
if-min;0;39532;0;61;0,0;99,84593236178112;0,0;100,0;0,0;0,0;0,0
if-quart;0;39529;0;61;0,0;99,84592068704218;0,0;100,0;0,0;0,0;0,0
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;0;39445;25;61;0,0;99,78244921707015;0,0;99,9366607550038;0,0;0,0;0,0
