;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;118;91204;514;46;18,670886075949365;99,39052262684748;71,95121951219512;99,4395865587998;84,58604802622081;29,648241206030146;45,807453416149066
pca-quart;130;90751;964;34;11,882998171846435;98,91378878742694;79,26829268292683;98,94891784331898;88,56360302213935;20,66772655007949;37,142857142857146
mlp-1camadas-min;119;91202;516;45;18,74015748031496;99,38943427439543;72,5609756097561;99,43740596175233;84,94277596528222;29,78723404255319;46,08830364058869
mlp-1camadas-quart;127;90640;1075;37;10,565723793677204;98,78971255673223;77,4390243902439;98,82789074851442;87,48220071597747;18,594436310395313;34,17653390742734
mlp-3camadas-min;116;91376;342;48;25,32751091703057;99,57554254369735;70,73170731707317;99,62711790488235;83,94519726876386;37,29903536977492;52,06463195691203
mlp-3camadas-quart;122;91054;661;42;15,581098339719029;99,23486324404924;74,39024390243902;99,2792891021098;85,93841126508393;25,76557550158395;42,3905489923558
oc-svm-min;0;91718;0;164;0,0;99,82151019786248;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;91715;0;164;0,0;99,82150436987777;0,0;100,0;0,0;0,0;0,0
if-min;78;91612;106;86;42,391304347826086;99,79103632920484;47,5609756097561;99,88442835648401;68,9246027254214;44,82758620689655;46,42857142857143
if-quart;91;91509;206;73;30,63973063973064;99,6963397511945;55,48780487804878;99,77539115738973;74,40643410466755;39,47939262472885;47,74396642182581
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;110;91411;248;50;30,726256983240223;99,67544843659809;68,75;99,7294319161239;82,80337217911791;42,47104247104247;55,11022044088176
