;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;99;61779;1049;66;8,623693379790941;98,22996205927643;60,0;98,33036225886548;76,81029706707251;15,079969535415081;27,378318584070797
pca-quart;121;61155;1670;44;6,756002233389168;97,27893316399428;73,33333333333333;97,34182252288102;84,48905442922538;12,372188139059304;24,68380252957976
mlp-1camadas-min;89;62389;439;76;16,856060606060606;99,1824488435223;53,93939393939394;99,30126695104094;73,18640691243912;25,685425685425685;37,45791245791246
mlp-1camadas-quart;100;62182;643;65;13,458950201884253;98,87601206540721;60,60606060606061;98,97652208515719;77,4504815741654;22,026431718061676;35,637918745545264
mlp-3camadas-min;81;62471;357;84;18,493150684931507;99,2999222135793;49,09090909090909;99,4317820080219;69,86556069554507;26,865671641791046;36,88524590163935
mlp-3camadas-quart;100;62293;532;65;15,822784810126583;99,0522305127798;60,60606060606061;99,15320334261838;77,51957850161327;25,094102885821833;38,69969040247679
oc-svm-min;0;62828;0;165;0,0;99,73806613433239;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;36;62779;49;129;42,35294117647059;99,71742892067373;21,818181818181817;99,92200929521869;46,69171839246372;28,799999999999997;24,161073825503355
if-quart;76;62746;79;89;49,03225806451613;99,7332909985712;46,06060606060606;99,8742538798249;67,82528041634308;47,5;46,625766871165645
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;83;62539;259;77;24,269005847953217;99,46631087391594;51,875;99,58756648300901;71,87562181509175;33,067729083665334;42,260692464358456
