;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;43;61015;98;40;30,49645390070922;99,77449506503693;51,80722891566265;99,83964132017738;71,91950467524148;38,392857142857146;45,454545454545446
pca-quart;68;60894;216;15;23,943661971830984;99,62250584217149;81,92771084337349;99,64653902798233;90,3538202624962;37,05722070844687;55,194805194805184
mlp-1camadas-min;46;61061;52;37;46,93877551020408;99,85456565788614;55,42168674698795;99,91491172091044;74,41406411928631;50,828729281767956;53,48837209302326
mlp-1camadas-quart;65;60964;146;18;30,805687203791468;99,73199548968019;78,3132530120482;99,76108656521028;88,3889993887144;44,21768707482993;59,85267034990792
mlp-3camadas-min;51;61063;50;32;50,495049504950494;99,86600431400745;61,44578313253012;99,91818434702927;78,35528754579187;55,43478260869565;58,89145496535796
mlp-3camadas-quart;66;61002;108;17;37,93103448275862;99,79572826957332;79,51807228915662;99,82326951399116;89,09407366011229;51,36186770428015;65,21739130434781
oc-svm-min;0;61113;0;83;0,0;99,86437022027583;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;61110;0;83;0,0;99,86436357099669;0,0;100,0;0,0;0,0;0,0
if-min;29;61092;21;54;58,0;99,87744297012877;34,93975903614458;99,96563742575229;59,09970628988254;43,609022556390975;37,95811518324608
if-quart;64;61066;44;19;59,25925925925926;99,89704704786496;77,10843373493977;99,92799869088529;87,77978961766357;67,01570680628274;72,72727272727273
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;46;61071;34;33;57,5;99,89049424686192;58,22784810126582;99,94435807217086;76,28594169573373;57,861635220125784;58,08080808080808
