;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;61;60182;931;22;6,149193548387097;98,44270867376953;73,49397590361446;98,47659254168508;85,07312336648198;11,348837209302324;23,036253776435046
pca-quart;73;59319;1791;10;3,9163090128755367;97,05685290801236;87,95180722891567;97,06921944035346;92,39812376925887;7,498715973292246;16,62112932604736
mlp-1camadas-min;57;60702;411;26;12,179487179487179;99,28590103928362;68,67469879518072;99,32747533258063;82,59106761963255;20,689655172413794;35,625
mlp-1camadas-quart;70;60327;783;13;8,206330597889801;98,69919762064288;84,33734939759036;98,71870397643593;91,24513044178286;14,957264957264957;29,535864978902957
mlp-3camadas-min;49;60716;397;34;10,986547085201794;99,29570560167332;59,036144578313255;99,35038371541243;76,58500908750999;18,525519848771268;31,491002570694086
mlp-3camadas-quart;70;60370;740;13;8,641975308641975;98,76946709590966;84,33734939759036;98,78906889216168;91,27764359261727;15,677491601343784;30,647985989492117
oc-svm-min;0;61113;0;83;0,0;99,86437022027583;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;61110;0;83;0,0;99,86436357099669;0,0;100,0;0,0;0,0;0,0
if-min;0;61101;12;83;0,0;99,84476109549644;0,0;99,98036424328703;0,0;0,0;0,0
if-quart;0;61075;35;83;0,0;99,80716748647721;0,0;99,94272623138602;0,0;0,0;0,0
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;49;60781;281;26;14,848484848484848;99,49784909302059;65,33333333333333;99,53981199436639;80,6428404569511;24,197530864197528;38,888888888888886
