;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;108;62153;675;57;13,793103448275861;98,83796612322004;65,45454545454545;98,92563825046157;80,46820916041787;22,78481012658228;37,42203742203742
pca-quart;121;61791;1034;44;10,476190476190476;98,28861724083188;73,33333333333333;98,3541583764425;84,92725287526446;18,333333333333332;33,33333333333333
mlp-1camadas-min;107;62371;457;58;18,97163120567376;99,1824488435223;64,84848484848484;99,27261730438659;80,23514703129139;29,35528120713306;43,709150326797385
mlp-1camadas-quart;119;62128;697;46;14,583333333333334;98,82044769010955;72,12121212121212;98,89056904098686;84,45180700608121;24,26095820591234;40,31165311653116
mlp-3camadas-min;105;62395;433;60;19,516728624535315;99,21737335894464;63,63636363636363;99,31081683325905;79,49703927207337;29,871977240398294;43,82303839732888
mlp-3camadas-quart;118;62187;638;47;15,60846560846561;98,91252579774567;71,51515151515152;98,98448070035813;84,13614048038276;25,624321389793707;41,66666666666667
oc-svm-min;0;62828;0;165;0,0;99,73806613433239;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;70;62689;139;95;33,49282296650718;99,62853015414412;42,42424242424242;99,77876106194691;65,06180406415577;37,4331550802139;40,276179516685836
if-quart;83;62649;176;82;32,04633204633205;99,5904111763772;50,303030303030305;99,71985674492639;70,82521426479325;39,15094339622642;45,15778019586507
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;105;62476;307;57;25,485436893203882;99,42171737230916;64,81481481481481;99,5110141280283;80,31057186163335;36,58536585365854;49,52830188679245
