;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;62;60535;578;21;9,6875;99,02117785476175;74,6987951807229;99,0542110516584;86,01877831692292;17,15076071922545;31,89300411522634
pca-quart;74;59950;1160;9;5,996758508914101;98,08965077704966;89,1566265060241;98,10178366879398;93,52231865246627;11,23766135155657;23,627075351213282
mlp-1camadas-min;58;60748;365;25;13,711583924349881;99,36270344466959;69,87951807228916;99,4027457333137;83,34396179031963;22,92490118577075;38,41059602649006
mlp-1camadas-quart;71;60417;693;12;9,293193717277488;98,84790744039351;85,5421686746988;98,8659793814433;91,96309196866271;16,765053128689495;32,39051094890512
mlp-3camadas-min;26;60986;127;57;16,99346405228758;99,69932675338258;31,325301204819276;99,79218824145435;55,910825021203024;22,03389830508474;26,804123711340203
mlp-3camadas-quart;63;60884;226;20;21,79930795847751;99,59799323452029;75,90361445783132;99,63017509409262;86,96143052358462;33,87096774193549;50,72463768115942
oc-svm-min;0;61113;0;83;0,0;99,86437022027583;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;61110;0;83;0,0;99,86436357099669;0,0;100,0;0,0;0,0;0,0
if-min;0;61109;4;83;0,0;99,85783384534938;0,0;99,99345474776234;0,0;0,0;0,0
if-quart;3;61097;13;80;18,75;99,84802183256255;3,6144578313253013;99,97872688594337;19,00970521493775;6,0606060606060606;4,310344827586207
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;27;60945;101;31;21,09375;99,78397486252946;46,55172413793103;99,83455099433215;68,17235860172624;29,032258064516128;37,5
