;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;61;60585;528;22;10,356536502546689;99,10124844761096;73,49397590361446;99,13602670462913;85,35748800081979;18,154761904761905;33,11617806731813
pca-quart;73;60077;1033;10;6,600361663652803;98,29555668131975;87,95180722891567;98,30960562919326;92,98659840562794;12,279226240538268;25,38247566063978
mlp-1camadas-min;51;60708;405;32;11,18421052631579;99,28590103928362;61,44578313253012;99,33729321093712;78,12718973322795;18,923933209647497;32,36040609137056
mlp-1camadas-quart;72;60377;733;11;8,944099378881987;98,78417466050038;86,74698795180723;98,80052364588447;92,57779341905804;16,216216216216214;31,662269129287598
mlp-3camadas-min;27;60914;199;56;11,946902654867257;99,5833060984378;32,53012048192771;99,6743737011765;56,942246052118094;17,475728155339805;24,193548387096776
mlp-3camadas-quart;70;60738;372;13;15,83710407239819;99,37084307028582;84,33734939759036;99,3912616593029;91,5554234419128;26,666666666666668;45,21963824289406
oc-svm-min;0;61113;0;83;0,0;99,86437022027583;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;61110;0;83;0,0;99,86436357099669;0,0;100,0;0,0;0,0;0,0
if-min;15;61018;95;68;13,636363636363637;99,73364272174652;18,072289156626507;99,84455025935561;42,478460223981784;15,544041450777202;16,968325791855204
if-quart;47;60932;178;36;20,88888888888889;99,65028679750952;56,626506024096386;99,70872197676321;75,14091126458432;30,51948051948052;42,1903052064632
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;41;60856;185;26;18,141592920353983;99,6547096943117;61,19402985074627;99,69692501761111;78,10798042169127;27,986348122866893;41,497975708502025
