;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;106;62232;596;59;15,0997150997151;98,96020192719826;64,24242424242425;99,05137836633348;79,77029942783767;24,45213379469435;38,913362701908966
pca-quart;118;61860;965;47;10,895660203139428;98,39339577710747;71,51515151515152;98,46398726621568;83,91464096407351;18,910256410256412;33,84968445209409
mlp-1camadas-min;105;62304;524;60;16,69316375198728;99,07291286333403;63,63636363636363;99,16597695295091;79,43904688333842;26,448362720403022;40,729247478665634
mlp-1camadas-quart;117;62017;808;48;12,64864864864865;98,64105413557708;70,9090909090909;98,71388778352566;83,66428176248105;21,467889908256883;36,90851735015773
mlp-3camadas-min;105;62333;495;60;17,5;99,11894972457257;63,63636363636363;99,21213471700516;79,45753256923624;27,450980392156865;41,66666666666667
mlp-3camadas-quart;117;61986;839;48;12,238493723849372;98,59183997459914;70,9090909090909;98,66454436927974;83,64336881179099;20,87421944692239;36,200495049504944
oc-svm-min;0;62828;0;165;0,0;99,73806613433239;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;62825;0;165;0,0;99,738053659311;0,0;100,0;0,0;0,0;0,0
if-min;69;62685;143;96;32,54716981132076;99,6205927642754;41,81818181818182;99,77239447380148;64,59334433624558;36,604774535809014;39,56422018348625
if-quart;85;62620;205;80;29,310344827586206;99,547547229719;51,515151515151516;99,67369677676085;71,65686004514923;37,362637362637365;44,736842105263165
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;105;62460;310;59;25,301204819277107;99,41367146534465;64,02439024390245;99,50613350326589;79,81741365814199;36,26943005181347;49,01960784313725
