;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;122;91145;573;42;17,553956834532375;99,33066324198428;74,39024390243902;99,37525894589939;85,97993807193333;28,40512223515716;45,15173945225759
pca-quart;131;90556;1159;33;10,155038759689923;98,70264151764822;79,8780487804878;98,73630267677044;88,80801316108855;18,01925722145805;33,65878725590956
mlp-1camadas-min;109;91437;281;55;27,94871794871795;99,63431357610848;66,46341463414635;99,69362611483024;81,40011553340402;39,35018050541516;52,10325047801148
mlp-1camadas-quart;119;91139;576;45;17,12230215827338;99,32411105911035;72,5609756097561;99,37196750804121;84,91482150157564;27,706635622817227;44,04145077720207
mlp-3camadas-min;94;91527;191;70;32,98245614035088;99,71594001001284;57,31707317073171;99,79175298196647;75,6291690256012;41,87082405345212;49,94686503719448
mlp-3camadas-quart;112;91314;401;52;21,832358674463936;99,50696024118677;68,29268292682927;99,56277599084119;82,45852952883314;33,087149187592324;47,90419161676647
oc-svm-min;0;91718;0;164;0,0;99,82151019786248;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;91715;0;164;0,0;99,82150436987777;0,0;100,0;0,0;0,0;0,0
if-min;82;91678;40;82;67,21311475409836;99,86722100084891;50,0;99,95638805905057;70,69525728754743;57,34265734265735;52,69922879177378
if-quart;86;91655;60;78;58,9041095890411;99,84980245758008;52,4390243902439;99,93457994875429;72,39110356502037;55,483870967741936;53,61596009975063
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;92;91533;138;62;40,0;99,78219439150558;59,74025974025974;99,84946166181236;77,2336246372121;47,916666666666664;54,373522458628834
