;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;61;60118;995;22;5,776515151515151;98,33812667494607;73,49397590361446;98,37186850588255;85,02787621459719;10,711150131694469;21,97406340057637
pca-quart;73;59187;1923;10;3,6573146292585172;96,84114196068178;87,95180722891567;96,85321551300933;92,29526174349809;7,022607022607022;15,678694158075603
mlp-1camadas-min;58;60714;399;25;12,691466083150985;99,30714425779463;69,87951807228916;99,3471110892936;83,32063516797031;21,48148148148148;36,755386565272495
mlp-1camadas-quart;71;60349;761;12;8,533653846153847;98,73678361904139;85,5421686746988;98,75470463099329;91,91132466113459;15,519125683060109;30,498281786941583
mlp-3camadas-min;47;60869;244;36;16,151202749140893;99,54245375514739;56,626506024096386;99,60073961350285;75,10021226154075;25,13368983957219;37,7207062600321
mlp-3camadas-quart;69;60661;449;14;13,32046332046332;99,24337751049957;83,13253012048193;99,26525936835215;90,84146720720106;22,96173044925125;40,58823529411765
oc-svm-min;0;61113;0;83;0,0;99,86437022027583;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;61110;0;83;0,0;99,86436357099669;0,0;100,0;0,0;0,0;0,0
if-min;13;61092;21;70;38,23529411764706;99,8512974704229;15,662650602409638;99,96563742575229;39,56926649871997;22,22222222222222;17,75956284153006
if-quart;36;61045;65;47;35,64356435643565;99,8169725295377;43,373493975903614;99,8936344297169;65,82352126078067;39,130434782608695;41,570438799076214
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;49;60848;196;24;20,0;99,64003468756647;67,12328767123287;99,67892012318983;81,79716883967754;30,817610062893085;45,62383612662942
