;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;130;90931;787;34;14,176663031624864;99,10646263686031;79,26829268292683;99,14193506181992;88,64994035887484;24,051803885291395;41,32231404958677
pca-quart;147;90187;1528;17;8,776119402985074;98,31844055769001;89,63414634146342;98,33396936160933;93,88333931052661;15,98694942903752;31,53153153153153
mlp-1camadas-min;116;91371;347;48;25,053995680345572;99,57010078143706;70,73170731707317;99,62166641226368;83,94290054025613;37,00159489633174;51,83199285075961
mlp-1camadas-quart;124;91045;670;40;15,617128463476071;99,22724452812939;75,60975609756098;99,26947609442294;86,63567899792774;25,887265135699373;42,758620689655174
mlp-3camadas-min;106;91498;220;58;32,515337423312886;99,69743801832786;64,63414634146342;99,76013432477812;80,29888617528736;43,26530612244898;53,9714867617108
mlp-3camadas-quart;120;91288;427;44;21,937842778793417;99,48736925739287;73,17073170731707;99,53442730196805;85,34053477541467;33,755274261603375;49,875311720698264
oc-svm-min;0;91718;0;164;0,0;99,82151019786248;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;91715;0;164;0,0;99,82150436987777;0,0;100,0;0,0;0,0;0,0
if-min;85;91649;69;79;55,1948051948052;99,83892383709541;51,829268292682926;99,92476940186224;71,9654617327895;53,459119496855344;52,46913580246915
if-quart;91;91576;139;73;39,56521739130435;99,76926174642736;55,48780487804878;99,84844354794744;74,43366814127445;46,192893401015226;51,354401805869074
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;101;91484;174;50;36,72727272727273;99,75601520548095;66,88741721854305;99,81016387003862;81,70706256760442;47,417840375586856;57,45164960182025
