;TP;TN;FP;FN;Precision;ACC;Sensitivity;Especificity;MG;F1;F2
pca-min;100;65158;492;38;16,89189189189189;99,19438195415577;72,46376811594203;99,25057121096725;84,80607512204726;27,397260273972606;43,7062937062937
pca-quart;114;64762;885;24;11,411411411411411;98,61822603937068;82,6086956521739;98,65188051243774;90,27459871285275;20,052770448548813;36,75048355899419
mlp-1camadas-min;78;65413;237;60;24,761904761904763;99,54854988751748;56,52173913043478;99,63899466869763;75,04511485688398;34,437086092715234;44,982698961937714
mlp-1camadas-quart;94;65303;344;44;21,461187214611872;99,41019989359276;68,1159420289855;99,47598519353512;82,31585777187199;32,638888888888886;47,474747474747474
mlp-3camadas-min;92;65361;289;46;24,146981627296586;99,4907885936645;66,66666666666667;99,55978674790556;81,46974356487836;35,45279383429673;49,30332261521972
mlp-3camadas-quart;108;65202;445;30;19,529837251356238;99,27795090066124;78,26086956521739;99,32213200907886;88,16482528821697;31,259044862518085;48,86877828054299
oc-svm-min;0;65650;0;138;0,0;99,79023530127076;0,0;100,0;0,0;0,0;0,0
oc-svm-quart;0;65647;0;138;0,0;99,79022573535;0,0;100,0;0,0;0,0;0,0
if-min;36;65633;17;102;67,9245283018868;99,81911594819724;26,08695652173913;99,97410510281797;51,068778457262816;37,696335078534034;29,752066115702476
if-quart;71;65605;42;67;62,83185840707964;99,83430873299385;51,44927536231884;99,9360214480479;71,70520124855112;56,573705179282875;53,38345864661654
ensemble-retro;0;0;0;0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
ensemble-full;72;65412;208;58;25,714285714285715;99,59543726235741;55,38461538461539;99,68302346845473;74,30279883810539;35,1219512195122;45,00000000000001
